2025-01-26 10:20:34.263  [info] hala, madrid - Caller: log_test.go:11
2025-01-31 09:35:00.875  [error] hala, madrid - Caller: git/cargo/log_test.go:10
2025-01-31 09:35:00.875  [info] hala, madrid - Caller: git/cargo/log_test.go:11
2025-01-31 09:35:00.875  [warn] hala, madrid - Caller: git/cargo/log_test.go:13
2025-01-31 09:35:00.875  [fatal] hala, madrid - Caller: git/cargo/log_test.go:14
2025-01-31 09:35:22.624  [error] hala, madrid - Caller: git/cargo/log_test.go:10
2025-01-31 09:35:22.624  [info] hala, madrid - Caller: git/cargo/log_test.go:11
2025-01-31 09:35:22.624  [warn] hala, madrid - Caller: git/cargo/log_test.go:13
2025-01-31 09:35:22.624  [fatal] hala, madrid - Caller: git/cargo/log_test.go:14
2025-01-31 09:49:51.982  [error] hala, madrid - Caller: git/cargo/log_test.go:10
2025-01-31 09:49:51.982  [info] hala, madrid - Caller: git/cargo/log_test.go:11
2025-01-31 09:49:51.982  [warn] hala, madrid - Caller: git/cargo/log_test.go:13
2025-01-31 09:49:51.982  [fatal] hala, madrid - Caller: git/cargo/log_test.go:14
2025-01-31 09:49:55.799  [error] hala, madrid - Caller: git/cargo/log_test.go:10
2025-01-31 09:49:55.800  [info] hala, madrid - Caller: git/cargo/log_test.go:11
2025-01-31 09:49:55.800  [warn] hala, madrid - Caller: git/cargo/log_test.go:13
2025-01-31 09:49:55.800  [fatal] hala, madrid - Caller: git/cargo/log_test.go:14
2025-01-31 09:52:36.384  [error] hala, madrid - Caller: git/cargo/log_test.go:11
2025-01-31 09:52:36.384  [warn] hala, madrid - Caller: git/cargo/log_test.go:14
2025-01-31 09:52:36.384  [warn] hala, madrid - Caller: git/cargo/log_test.go:14
2025-01-31 09:52:40.459  [info] hala, madrid - Caller: git/cargo/log_test.go:12
2025-01-31 09:52:40.459  [info] hala, madrid - Caller: git/cargo/log_test.go:12
2025-01-31 09:52:40.459  [fatal] hala, madrid - Caller: git/cargo/log_test.go:15
2025-01-31 09:52:40.459  [fatal] hala, madrid - Caller: git/cargo/log_test.go:15
2025-01-31 09:53:00.316  [error] hala, madrid - Caller: git/cargo/log_test.go:12
2025-01-31 09:53:00.316  [warn] hala, madrid - Caller: git/cargo/log_test.go:15
2025-01-31 09:53:00.316  [warn] hala, madrid - Caller: git/cargo/log_test.go:15
2025-01-31 09:56:40.924  [error] hala, madrid - Caller: git/cargo/log_test.go:12
2025-01-31 09:56:40.924  [warn] hala, madrid - Caller: git/cargo/log_test.go:15
2025-01-31 09:56:40.924  [warn] hala, madrid - Caller: git/cargo/log_test.go:15
2025-01-31 09:57:18.332  [error] hala, madrid - Caller: git/cargo/log_test.go:12
2025-01-31 09:57:18.332  [warn] hala, madrid - Caller: git/cargo/log_test.go:15
2025-01-31 09:57:18.332  [warn] hala, madrid - Caller: git/cargo/log_test.go:15
2025-01-31 17:04:22.000  [error] hala, madrid - Caller: git/cargo/log_test.go:17
2025-01-31 17:04:22.001  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:04:22.001  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:05:07.952  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:05:07.952  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:05:07.952  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:05:20.991  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:05:20.991  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:05:20.991  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:10:42.825  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:10:42.825  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:10:42.825  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:11:16.839  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:11:16.839  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:11:16.839  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:12:47.161  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:12:47.161  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:12:47.161  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:17:47.974  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:17:47.974  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:17:47.974  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:19:10.607  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:19:10.607  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:19:10.607  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:21:45.401  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:21:45.401  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:21:45.401  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:22:38.850  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:22:38.850  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:22:38.850  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:22:59.717  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:22:59.717  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:22:59.717  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:23:24.848  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:23:24.848  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:23:24.848  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:24:14.990  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:24:14.990  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:24:14.990  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:24:45.975  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:24:45.975  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:24:45.975  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:25:23.912  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:25:23.912  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:25:23.912  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:25:33.034  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:25:33.034  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:25:33.034  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:25:43.910  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:25:43.910  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:25:43.910  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:26:07.030  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:26:07.030  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:26:07.030  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:27:00.039  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:27:00.039  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:27:00.039  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:27:14.003  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:27:14.003  [info] hala, madrid - Caller: git/cargo/log_test.go:23
2025-01-31 17:27:45.779  [error] hala, madrid - Caller: :0
2025-01-31 17:27:45.779  [info] hala, madrid - Caller: git/cargo/log_test.go:19
2025-01-31 17:27:45.779  [warn] hala, madrid - Caller: git/cargo/log_test.go:21
2025-01-31 17:29:41.842  [error] hala, madrid - Caller: :0
2025-01-31 17:29:41.842  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:29:41.842  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:45:33.842  [error] hala, madrid - Caller: git/cargo/log_test.go:17
		- Caller: testing.tRunner::src/testing/testing.go:1690
		- Caller: runtime.goexit::src/runtime/asm_amd64.s:17002025-01-31 17:45:33.842  [error] hala, madrid - Caller: :0
2025-01-31 17:45:33.842  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:45:33.842  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:46:18.195  [error] hala, madrid - Caller: git/cargo/log_test.go:17
		- Caller: testing.tRunner::src/testing/testing.go:1690
		- Caller: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:46:18.195  [error] hala, madrid - Caller: :0
2025-01-31 17:46:18.195  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:46:18.195  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:46:51.075  [error] hala, madrid - Caller: git/cargo/log_test.go:17
		- Caller: testing.tRunner::src/testing/testing.go:1690
		- Caller: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:46:51.075  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:46:51.075  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:47:21.097  [error] hala, madrid - Caller: git/cargo/log_test.go:17
				- Caller: testing.tRunner::src/testing/testing.go:1690
				- Caller: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:47:21.097  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:47:21.097  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:47:30.311  [error] hala, madrid - Caller: git/cargo/log_test.go:17
						 - Caller: testing.tRunner::src/testing/testing.go:1690
						 - Caller: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:47:30.311  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:47:30.311  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:47:56.066  [error] hala, madrid - Caller: git/cargo/log_test.go:17
								 - DumpStack: testing.tRunner::src/testing/testing.go:1690
								 - DumpStack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:47:56.066  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:47:56.066  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:48:06.389  [error] hala, madrid - Caller: git/cargo/log_test.go:17
							 - DumpStack: testing.tRunner::src/testing/testing.go:1690
							 - DumpStack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:48:06.389  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:48:06.389  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:48:21.413  [error] hala, madrid - Caller: git/cargo/log_test.go:17
						 - DumpStack: testing.tRunner::src/testing/testing.go:1690
						 - DumpStack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:48:21.413  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:48:21.413  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:49:02.694  [error] hala, madrid - Caller: git/cargo/log_test.go:17
						 - DumpStack: testing.tRunner::src/testing/testing.go:1690
						 - DumpStack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:49:02.694  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:49:02.694  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:50:39.312  [error] hala, madrid
						 - DumpStack: infratrail.TestMain::git/cargo/log_test.go:17
						 - DumpStack: testing.tRunner::src/testing/testing.go:1690
						 - DumpStack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:50:39.312  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:50:39.312  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:51:27.186  [error] hala, madrid
						 - Dump: infratrail.TestMain::git/cargo/log_test.go:17
						 - Dump: testing.tRunner::src/testing/testing.go:1690
						 - Dump: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:51:27.186  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:51:27.186  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:51:35.392  [error] hala, madrid
						 - Dumpstack: infratrail.TestMain::git/cargo/log_test.go:17
						 - Dumpstack: testing.tRunner::src/testing/testing.go:1690
						 - Dumpstack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:51:35.392  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:51:35.392  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:52:57.646  [error] hala, madrid						
 - Dumpstack: infratrail.TestMain::git/cargo/log_test.go:17						
 - Dumpstack: testing.tRunner::src/testing/testing.go:1690						
 - Dumpstack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:52:57.646  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:52:57.646  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:53:26.072  [error] hala, madrid - Dumpstack: infratrail.TestMain::git/cargo/log_test.go:17
 - Dumpstack: testing.tRunner::src/testing/testing.go:1690
 - Dumpstack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:53:26.072  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:53:26.072  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:55:40.549  [error] hala, madrid - Dumpstack: infratrail.TestMain::git/cargo/log_test.go:17
 - Dumpstack: testing.tRunner::src/testing/testing.go:1690
 - Dumpstack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:55:40.549  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:55:40.549  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:55:46.435  [error] hala, madrid - Dumpstack: infratrail.TestMain::git/cargo/log_test.go:17
 - Dumpstack: testing.tRunner::src/testing/testing.go:1690
 - Dumpstack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:55:46.435  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:55:46.435  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 17:56:45.461  [error] hala, madrid 
 - DumpStack: infratrail.TestMain::git/cargo/log_test.go:17
 - DumpStack: testing.tRunner::src/testing/testing.go:1690
 - DumpStack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 17:56:45.461  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 17:56:45.461  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 18:00:56.675  [error] hala, madrid
 - DumpStack: infratrail.TestMain::git/cargo/log_test.go:17

 - DumpStack: testing.tRunner::src/testing/testing.go:1690

 - DumpStack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 18:00:56.675  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 18:00:56.675  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 18:01:06.043  [error] hala, madrid
 - DumpStack: infratrail.TestMain::git/cargo/log_test.go:17
 - DumpStack: testing.tRunner::src/testing/testing.go:1690
 - DumpStack: runtime.goexit::src/runtime/asm_amd64.s:1700
2025-01-31 18:01:06.043  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 18:01:06.043  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-01-31 18:02:12.163  [error] hala, madrid - Caller: git/cargo/log_test.go:17
2025-01-31 18:02:12.163  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-01-31 18:02:12.163  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-02-01 10:23:30.577  [error] hala, madrid[trace dump]

 - 0x51fa44::infratrail.TestMain::git/cargo/log_test.go:17
 - 0x4d2e93::testing.tRunner::src/testing/testing.go:1690
 - 0x473fa0::runtime.goexit::src/runtime/asm_amd64.s:1700
2025-02-01 10:23:30.577  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-02-01 10:23:30.577  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-02-01 10:24:06.371  [error] hala, madrid
[trace dump]
 - 0x51fa44::infratrail.TestMain::git/cargo/log_test.go:17
 - 0x4d2e93::testing.tRunner::src/testing/testing.go:1690
 - 0x473fa0::runtime.goexit::src/runtime/asm_amd64.s:1700
2025-02-01 10:24:06.371  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-02-01 10:24:06.371  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-02-01 10:24:23.702  [error] hala, madrid
[trace dump]
[0x51fa44]::infratrail.TestMain::git/cargo/log_test.go:17
[0x4d2e93]::testing.tRunner::src/testing/testing.go:1690
[0x473fa0]::runtime.goexit::src/runtime/asm_amd64.s:1700
2025-02-01 10:24:23.702  [info] hala, madrid - Caller: git/cargo/log_test.go:18
2025-02-01 10:24:23.702  [warn] hala, madrid - Caller: git/cargo/log_test.go:20
2025-02-01 10:39:10.572   [error] hala, madrid
2025-02-01 10:39:10.572  [info] hala, madrid
2025-02-01 10:39:10.572  [warn] hala, madrid
2025-02-01 10:39:32.124   [error] hala, madrid - Caller: git/cargo/log_test.go:18
2025-02-01 10:39:32.124  [info] hala, madrid - Caller: git/cargo/log_test.go:19
2025-02-01 10:39:32.124  [warn] hala, madrid - Caller: git/cargo/log_test.go:21
2025-02-01 10:43:09.903   [error] hala, madrid
[trace dump]
[0x51f3fe]::infratrail.(*Logger).Errorf::git/cargo/log.go:272
[0x51f6e9]::infratrail.TestMain::git/cargo/log_test.go:18
[0x4d2e93]::testing.tRunner::src/testing/testing.go:1690
[0x473fa0]::runtime.goexit::src/runtime/asm_amd64.s:1700 - Caller: src/runtime/asm_amd64.s:0
2025-02-01 10:43:09.903  [info] hala, madrid - Caller: git/cargo/log_test.go:19
2025-02-01 10:43:09.903  [warn] hala, madrid - Caller: git/cargo/log_test.go:21
2025-02-01 10:43:48.266   [error] hala, madrid
[trace dump]
[0x51f6e9]::infratrail.TestMain::git/cargo/log_test.go:18
[0x4d2e93]::testing.tRunner::src/testing/testing.go:1690
[0x473fa0]::runtime.goexit::src/runtime/asm_amd64.s:1700 - Caller: src/runtime/asm_amd64.s:0
2025-02-01 10:43:48.266  [info] hala, madrid - Caller: git/cargo/log_test.go:19
2025-02-01 10:43:48.266  [warn] hala, madrid - Caller: git/cargo/log_test.go:21
2025-02-01 10:44:32.740   [error] hala, madrid
[trace dump]
[0x51f6e9]::infratrail.TestMain::git/cargo/log_test.go:18
[0x4d2e93]::testing.tRunner::src/testing/testing.go:1690
[0x473fa0]::runtime.goexit::src/runtime/asm_amd64.s:1700
2025-02-01 10:44:32.740  [info] hala, madrid - Caller: git/cargo/log_test.go:19
2025-02-01 10:44:32.740  [warn] hala, madrid - Caller: git/cargo/log_test.go:21
